candidate_id,mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,segmento,valor_segmento,target,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.05912442535682514,0.3035915840698625,,,-0.03912668502115712,0.9233608984285671,,,,,96,id_material,PD001,roi,0.005877905941933451,0.9995082508312039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.12440183502042114,0.7369713113484737,,,0.11160361815875686,0.616700543464046,,,,,91,id_material,PD002,roi,0.00554390960263669,0.9226811946834008,0.967032967032967,0.9636363636363636,1.0,0.9814814814814815,0.9722222222222222,0.9459459459459459,0.958904109589041,2.0,0.0,0.02197802197802198
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.08466915936124046,0.6407349793743178,,,0.05967631602740374,0.6814390114620884,,,,,94,id_material,PD003,roi,0.004416142719368493,0.9981214971438094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.2876118231055546,2.033957109320541,,,-0.22200100054597582,0.308322890872321,,,,,107,id_material,PD004,roi,0.007282210564314551,0.990487201525344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.09038904599258231,0.47207001852975966,,,-0.07121587694428559,0.8044609639717053,,,,,103,id_material,PD005,roi,0.004022673481614156,0.9505493173762003,0.9805825242718447,1.0,0.9841269841269841,0.992,0.9512195121951219,1.0,0.975,0.0,1.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.0977124478070923,0.37567140659652803,,,-0.05177624223144706,0.877389787686942,,,,,94,id_material,PD006,roi,0.004634830418933977,0.9341936062985802,0.9893617021276596,1.0,0.9807692307692307,0.9902912621359223,0.9767441860465116,1.0,0.9882352941176471,0.0,1.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.01731892912833429,0.06401079878787118,,,0.007101525214881225,0.9953723902083039,,,,,94,id_material,PD007,roi,0.004394612044133082,0.9996459777182358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.065589760425491,0.35118996132961594,,,0.03963382833724647,0.8851762194379708,,,,,107,id_material,PD008,roi,0.004254298450112104,0.9898475826092977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.3796083684660621,1.7211848171202802,,,-0.17260780419833116,0.32733187842814915,,,,,92,id_material,PD009,roi,0.003764532990386763,0.9566457197341912,0.9891304347826086,0.9807692307692307,1.0,0.9902912621359223,1.0,0.975609756097561,0.9876543209876543,1.0,0.0,0.010869565217391304
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.019564230644275277,0.06333594008015304,,,0.006360428411823682,0.9949757880687489,,,,,108,id_material,PD010,roi,0.004864810326636271,0.9997784919865451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
